                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     15,                 1.3457,                 1.0644,                 1.1276,                0.65779,                0.66497,                0.68658,                0.39815,                 1.3576,                 1.2189,                 1.1787,              0.0012379,              0.0012379,              0.0012379
                     16,                  1.389,                 1.0666,                 1.1518,                0.56408,                0.66614,                0.61164,                0.35249,                  1.437,                 1.2597,                 1.2087,              0.0012049,              0.0012049,              0.0012049
                     17,                 1.3684,                 1.0355,                 1.1235,                0.65633,                0.62762,                0.68446,                0.40988,                 1.3421,                 1.1598,                 1.1757,              0.0011719,              0.0011719,              0.0011719
                     18,                 1.3305,                0.98957,                 1.1055,                0.72461,                0.61872,                0.67168,                0.40633,                 1.3197,                 1.1521,                 1.1395,              0.0011389,              0.0011389,              0.0011389
                     19,                 1.2945,                0.98695,                 1.0978,                0.69271,                0.65489,                0.67489,                0.42367,                 1.3006,                 1.1206,                 1.1412,              0.0011059,              0.0011059,              0.0011059
                     20,                 1.2914,                0.97861,                 1.1064,                0.63056,                0.70504,                0.69236,                 0.3978,                 1.3867,                 1.1104,                 1.1786,              0.0010729,              0.0010729,              0.0010729
                     21,                 1.2962,                0.95412,                 1.1078,                0.59117,                 0.7154,                 0.6737,                0.39996,                 1.3521,                 1.1037,                 1.1547,              0.0010399,              0.0010399,              0.0010399
                     22,                 1.3057,                0.93491,                 1.1016,                0.65309,                0.68216,                0.70533,                0.42575,                 1.3594,                  1.116,                 1.1469,              0.0010069,              0.0010069,              0.0010069
                     23,                 1.2792,                0.92847,                  1.092,                 0.6681,                 0.7617,                0.74079,                 0.4468,                 1.3456,                 1.0176,                 1.1385,             0.00097386,             0.00097386,             0.00097386
                     24,                 1.2792,                0.89612,                 1.0896,                 0.6639,                0.71374,                0.68664,                0.41759,                 1.3608,                 1.1103,                 1.1533,             0.00094085,             0.00094085,             0.00094085
                     25,                 1.2833,                0.90508,                  1.092,                0.68007,                0.60308,                 0.6555,                0.39474,                 1.3657,                 1.1856,                 1.1514,             0.00090785,             0.00090785,             0.00090785
                     26,                 1.2749,                0.91129,                 1.0781,                0.63193,                0.74601,                0.71298,                0.43594,                 1.3362,                  1.048,                 1.1638,             0.00087484,             0.00087484,             0.00087484
                     27,                 1.2115,                0.84802,                 1.0625,                0.64404,                0.67979,                0.68321,                0.42488,                 1.2995,                  1.078,                 1.1219,             0.00084184,             0.00084184,             0.00084184
                     28,                 1.2163,                0.82053,                 1.0733,                0.68841,                0.74757,                0.75407,                0.44572,                 1.3847,                 1.0435,                  1.156,             0.00080883,             0.00080883,             0.00080883
                     29,                 1.2139,                0.83401,                 1.0683,                0.70013,                0.74608,                0.75634,                0.45355,                 1.3409,                0.99053,                 1.1406,             0.00077582,             0.00077582,             0.00077582
                     30,                 1.2168,                0.80499,                 1.0709,                0.73242,                 0.6307,                0.70441,                0.43064,                 1.3534,                 1.0431,                 1.1437,             0.00074282,             0.00074282,             0.00074282
                     31,                 1.2078,                 0.8062,                 1.0625,                0.65178,                0.70795,                0.70053,                0.42135,                 1.3711,                 1.0255,                 1.1512,             0.00070981,             0.00070981,             0.00070981
                     32,                 1.1976,                0.80469,                 1.0594,                0.65832,                0.71558,                0.67733,                0.42062,                 1.3011,                 1.1019,                 1.1286,              0.0006768,              0.0006768,              0.0006768
                     33,                 1.1723,                0.77235,                 1.0587,                0.70193,                0.70014,                0.70249,                 0.4396,                 1.3034,                 1.0507,                 1.1309,              0.0006438,              0.0006438,              0.0006438
                     34,                 1.1628,                0.75929,                 1.0526,                0.68012,                 0.7263,                0.71966,                0.42697,                 1.3601,                 1.0256,                 1.1403,             0.00061079,             0.00061079,             0.00061079
                     35,                 1.1465,                0.75701,                 1.0316,                0.64023,                0.73675,                0.70245,                0.43833,                 1.3224,                 1.0849,                 1.1308,             0.00057778,             0.00057778,             0.00057778
                     36,                 1.1374,                0.72998,                 1.0222,                0.64452,                0.73593,                0.70725,                0.42347,                 1.3416,                  1.091,                 1.1528,             0.00054478,             0.00054478,             0.00054478
                     37,                 1.1475,                0.72321,                 1.0296,                0.68328,                0.70178,                0.69022,                0.42872,                 1.3255,                 1.0987,                 1.1321,             0.00051177,             0.00051177,             0.00051177
                     38,                  1.128,                0.72093,                 1.0271,                0.71502,                0.68774,                0.70751,                0.43895,                  1.326,                 1.0539,                 1.1446,             0.00047876,             0.00047876,             0.00047876
                     39,                 1.1335,                0.70332,                 1.0327,                0.63808,                0.78517,                0.70441,                0.42132,                 1.3901,                 1.0603,                 1.1656,             0.00044576,             0.00044576,             0.00044576
                     40,                 1.1121,                0.67387,                 1.0405,                0.70719,                0.72294,                0.70645,                0.43795,                 1.3314,                  1.051,                  1.137,             0.00041275,             0.00041275,             0.00041275
                     41,                 1.0817,                0.67591,                 1.0167,                0.66537,                0.73746,                0.71799,                 0.4438,                 1.3223,                0.99727,                 1.1302,             0.00037974,             0.00037974,             0.00037974
                     42,                 1.0732,                0.62538,                 1.0186,                0.62192,                0.75484,                 0.6993,                0.43252,                 1.3283,                 1.0152,                 1.1223,             0.00034674,             0.00034674,             0.00034674
                     43,                 1.1115,                0.63876,                 1.0231,                0.70027,                0.71919,                0.69867,                0.44413,                 1.2903,                 1.0436,                 1.1147,             0.00031373,             0.00031373,             0.00031373
                     44,                 1.0431,                0.59708,                0.99976,                0.68845,                0.70898,                0.71216,                0.44045,                 1.3314,                 1.0265,                  1.141,             0.00028072,             0.00028072,             0.00028072
                     45,                 1.0361,                0.59271,                 0.9945,                0.66836,                0.70083,                0.71553,                0.44581,                 1.3351,                 1.0441,                  1.139,             0.00024772,             0.00024772,             0.00024772
                     46,                0.99118,                0.58028,                0.98096,                0.65521,                0.75484,                0.71965,                0.44967,                 1.3125,                 1.0063,                 1.1366,             0.00021471,             0.00021471,             0.00021471
                     47,                 1.0028,                0.56918,                 0.9852,                0.73537,                0.69614,                0.73614,                0.45858,                 1.2962,                0.98274,                  1.124,              0.0001817,              0.0001817,              0.0001817
                     48,                 1.0075,                0.55604,                0.99129,                0.70426,                 0.7334,                0.72987,                0.45668,                 1.2975,                0.98668,                 1.1258,              0.0001487,              0.0001487,              0.0001487
                     49,                 0.9838,                0.53732,                0.98367,                0.67768,                0.76302,                0.72423,                0.44876,                 1.3207,                0.99426,                 1.1357,             0.00011569,             0.00011569,             0.00011569
                     50,                0.97645,                0.53792,                0.97711,                0.68779,                0.73722,                 0.7162,                0.44795,                  1.327,                0.99244,                  1.139,             8.2683e-05,             8.2683e-05,             8.2683e-05
