                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5956,                 2.9286,                 1.2753,                0.00624,                 0.9244,                0.35085,                0.20415,                  1.318,                 3.0278,                 1.0752,              0.0005001,              0.0005001,              0.0005001
                      2,                 1.4688,                 1.8126,                 1.1496,                0.00573,                0.85916,                0.26721,                0.15775,                 1.4079,                 3.2445,                 1.2135,             0.00099674,             0.00099674,             0.00099674
                      3,                 1.4676,                 1.6941,                 1.1794,                 0.6571,                0.22803,                0.29311,                0.15474,                 1.4807,                 2.7678,                 1.3078,              0.0014729,              0.0014729,              0.0014729
                      4,                 1.4571,                 1.6146,                 1.1785,                0.53759,                0.60836,                 0.5289,                0.30274,                 1.4311,                 1.7701,                 1.2254,               0.001568,               0.001568,               0.001568
                      5,                 1.4675,                 1.5527,                 1.1656,                0.61757,                0.55285,                0.59539,                0.32385,                 1.5088,                 1.9276,                 1.2904,               0.001568,               0.001568,               0.001568
                      6,                 1.4626,                 1.4316,                 1.1669,                0.86445,                0.30814,                0.44839,                0.25244,                 1.4911,                 2.2129,                 1.2388,               0.001535,               0.001535,               0.001535
                      7,                 1.4445,                 1.3721,                 1.1591,                0.57298,                0.68434,                0.61432,                0.34787,                 1.4129,                 1.4525,                 1.1987,               0.001502,               0.001502,               0.001502
                      8,                 1.4477,                   1.31,                 1.1726,                0.62455,                  0.622,                0.63447,                0.37022,                 1.3999,                 1.4541,                 1.1762,               0.001469,               0.001469,               0.001469
                      9,                 1.4381,                 1.2477,                 1.1559,                0.69449,                0.68465,                0.67647,                 0.3977,                  1.402,                  1.444,                 1.2108,               0.001436,               0.001436,               0.001436
                     10,                 1.3921,                 1.2494,                 1.1538,                0.64431,                 0.6827,                0.65277,                0.38597,                 1.4362,                 1.2899,                 1.2038,              0.0014029,              0.0014029,              0.0014029
                     11,                 1.3812,                 1.1717,                 1.1395,                0.56567,                 0.7328,                0.65086,                0.38262,                 1.3662,                 1.3222,                 1.1658,              0.0013699,              0.0013699,              0.0013699
                     12,                 1.3363,                 1.1576,                  1.118,                0.55972,                0.67377,                 0.6349,                0.36896,                 1.3834,                 1.3026,                 1.1756,              0.0013369,              0.0013369,              0.0013369
                     13,                 1.3663,                 1.1027,                 1.1233,                0.65773,                0.64513,                0.66027,                0.39114,                  1.402,                 1.2252,                 1.2177,              0.0013039,              0.0013039,              0.0013039
                     14,                 1.3564,                 1.0881,                  1.118,                0.68418,                0.69623,                0.67852,                0.40293,                 1.3713,                 1.1794,                 1.1926,              0.0012709,              0.0012709,              0.0012709
